pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
K2-397 b,K2-397,1,1,Transit,2022,K2,0,3.572326,0.00018,-0.000155,0.0,,,,,2.417,0.187,-0.183,0.0,0.216,0.017,-0.016,0.0,6.42,,,0.0,0.0202,,,0.0,M-R relationship,,,,,,,,,,,,,0,G7,5387.0,138.0,-138.0,0.0,0.97,0.06,-0.06,0.0,0.94,0.41,-0.29,0.0,0.11,0.235,-0.235,0.0,[Fe/H],4.44,0.15,-0.15,0.0,05h19m48.40s,79.9516586,+21d15m32.98s,21.2591617,199.354,1.598,-1.574,11.865,0.08,-0.08,9.95,0.017,-0.017,11.6421,0.000365,-0.000365
K2-398 b,K2-398,1,2,Transit,2022,K2,0,6.393025,0.001139,-0.00075,0.0,,,,,2.274,0.113,-0.111,0.0,0.203,0.01,-0.01,0.0,5.79,,,0.0,0.0182,,,0.0,M-R relationship,,,,,,,,,,,,,0,G2,5946.0,20.0,-20.0,0.0,1.24,0.03,-0.03,0.0,0.95,0.09,-0.08,0.0,-0.257,0.019,-0.019,0.0,[Fe/H],4.23,0.03,-0.03,0.0,10h46m56.39s,161.7349738,+01d56m12.14s,1.9367044,606.992,13.07,-12.539,13.287,0.149,-0.149,11.717,0.021,-0.021,13.0091,0.000439,-0.000439
K2-401 b,K2-401,1,1,Transit,2022,K2,0,6.293099,0.000571,-0.000707,0.0,,,,,2.262,0.209,-0.192,0.0,0.202,0.019,-0.017,0.0,5.74,,,0.0,0.0181,,,0.0,M-R relationship,,,,,,,,,,,,,0,K7,4213.0,138.0,-138.0,0.0,0.68,0.05,-0.05,0.0,0.87,0.4,-0.27,0.0,-0.098,0.235,-0.235,0.0,[Fe/H],4.72,0.15,-0.15,0.0,10h19m57.02s,154.987604,+03d57m17.38s,3.9548275,200.727,1.54,-1.517,14.014,0.08,-0.08,11.106,0.021,-0.021,13.6941,0.000383,-0.000383
K2-402 b,K2-402,1,1,Transit,2022,K2,0,17.27474,0.002593,-0.003175,0.0,,,,,2.678,0.213,-0.195,0.0,0.239,0.019,-0.017,0.0,7.65,,,0.0,0.0241,,,0.0,M-R relationship,,,,,,,,,,,,,0,G2,5716.0,138.0,-138.0,0.0,1.28,0.09,-0.08,0.0,0.94,0.42,-0.29,0.0,-0.378,0.235,-0.235,0.0,[Fe/H],4.2,0.15,-0.15,0.0,10h45m48.46s,161.451913,+06d25m09.54s,6.419318,523.055,17.949,-16.816,13.032,0.057,-0.057,11.377,0.023,-0.023,12.836,0.000362,-0.000362
K2-408 b,K2-408,1,1,Transit,2022,K2,0,20.978959,0.001305,-0.001247,0.0,,,,,1.677,0.118,-0.109,0.0,0.15,0.011,-0.01,0.0,3.45,,,0.0,0.0109,,,0.0,M-R relationship,,,,,,,,,,,,,0,G7,5335.0,138.0,-138.0,0.0,0.78,0.05,-0.05,0.0,0.81,0.37,-0.25,0.0,-0.171,0.235,-0.235,0.0,[Fe/H],4.56,0.15,-0.15,0.0,15h11m40.05s,227.9168555,-17d41m03.37s,-17.6842698,162.306,1.351,-1.329,12.056,0.046,-0.046,9.978,0.021,-0.021,11.7345,0.000364,-0.000364
K2-409 b,K2-409,1,1,Transit,2022,K2,0,1.908084,4.7e-05,-5.8e-05,0.0,,,,,2.482,0.174,-0.158,0.0,0.221,0.016,-0.014,0.0,6.72,,,0.0,0.0211,,,0.0,M-R relationship,,,,,,,,,,,,,0,G4,5742.0,138.0,-138.0,0.0,1.23,0.08,-0.07,0.0,0.89,0.37,-0.27,0.0,-0.036,0.235,-0.235,0.0,[Fe/H],4.2,0.15,-0.15,0.0,15h13m49.23s,228.4551125,-16d21m04.67s,-16.3512966,431.031,8.048,-7.764,12.902,0.092,-0.092,11.038,0.023,-0.023,12.6144,0.000283,-0.000283
K2-5 b,K2-5,1,2,Transit,2015,K2,0,5.73594,0.00064,-0.00064,0.0,0.0532,0.0038,-0.0038,0.0,1.91,0.44,-0.44,0.0,0.17,0.039,-0.039,0.0,4.31,,,0.0,0.0136,,,0.0,M-R relationship,,,,,24.1,18.4,-11.3,0.0,565.0,84.0,-84.0,0.0,0,K7.5 V,3930.0,375.0,-375.0,0.0,0.57,0.12,-0.12,0.0,0.61,0.13,-0.13,0.0,-0.33,0.19,-0.19,0.0,[Fe/H],4.71,0.21,-0.21,0.0,11h17m12.83s,169.3034598,-01d52m40.17s,-1.8778254,202.943,1.665,-1.639,14.974,0.275,-0.275,11.595,0.023,-0.023,14.339,0.000499,-0.000499
K2-5 c,K2-5,1,2,Transit,2015,K2,0,10.93241,0.00134,-0.00134,0.0,0.0818,0.0059,-0.0059,0.0,2.26,0.62,-0.62,0.0,0.202,0.055,-0.055,0.0,5.73,,,0.0,0.018,,,0.0,M-R relationship,,,,,10.2,7.8,-4.8,0.0,456.0,68.0,-68.0,0.0,0,K7.5 V,3930.0,375.0,-375.0,0.0,0.57,0.12,-0.12,0.0,0.61,0.13,-0.13,0.0,-0.33,0.19,-0.19,0.0,[Fe/H],4.71,0.21,-0.21,0.0,11h17m12.83s,169.3034598,-01d52m40.17s,-1.8778254,202.943,1.665,-1.639,14.974,0.275,-0.275,11.595,0.023,-0.023,14.339,0.000499,-0.000499
K2-8 b,K2-8,1,2,Transit,2015,K2,0,10.35239,0.00086,-0.00086,0.0,0.0856,0.0014,-0.0014,0.0,3.58,0.71,-0.71,0.0,0.319,0.063,-0.063,0.0,12.5,,,0.0,0.0394,,,0.0,M-R relationship,,,,,37.7,4.4,-4.4,0.0,631.0,18.0,-18.0,0.0,0,K3 V,4870.0,60.0,-60.0,0.0,0.74,0.04,-0.04,0.0,0.78,0.04,-0.04,0.0,-0.02,0.04,-0.04,0.0,[Fe/H],4.52,0.1,-0.1,0.0,11h19m10.44s,169.7935178,-00d17m03.98s,-0.2844389,403.513,11.6715,-11.6715,14.801,0.32,-0.32,12.245,0.03,-0.03,14.3358,0.000396,-0.000396
K2-8 c,K2-8,1,2,Transit,2016,K2,0,5.06416,0.00041,-0.00041,0.0,0.0532,0.0009,-0.0009,0.0,2.41,0.33,-0.33,0.0,0.215,0.029,-0.029,0.0,6.39,,,0.0,0.0201,,,0.0,M-R relationship,,,,,97.8,11.4,-11.4,0.0,801.0,23.0,-23.0,0.0,0,K3 V,4870.0,60.0,-60.0,0.0,0.74,0.04,-0.04,0.0,0.78,0.04,-0.04,0.0,-0.02,0.04,-0.04,0.0,[Fe/H],4.52,0.1,-0.1,0.0,11h19m10.44s,169.7935178,-00d17m03.98s,-0.2844389,403.513,11.6715,-11.6715,14.801,0.32,-0.32,12.245,0.03,-0.03,14.3358,0.000396,-0.000396
