+------+----------------------+--------------------+-----------+-----------+---------------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------+
|      | pl_name              | hostname           |   sy_snum |   sy_pnum | discoverymethod           |   disc_year | disc_facility                                |   pl_controv_flag |   pl_orbper |   pl_orbpererr1 |   pl_orbpererr2 |   pl_orbperlim |   pl_orbsmax |   pl_orbsmaxerr1 |   pl_orbsmaxerr2 |   pl_orbsmaxlim |   pl_rade |   pl_radeerr1 |   pl_radeerr2 |   pl_radelim |   pl_radj |   pl_radjerr1 |   pl_radjerr2 |   pl_radjlim |   pl_bmasse |   pl_bmasseerr1 |   pl_bmasseerr2 |   pl_bmasselim |   pl_bmassj |   pl_bmassjerr1 |   pl_bmassjerr2 |   pl_bmassjlim | pl_bmassprov     |   pl_orbeccen |   pl_orbeccenerr1 |   pl_orbeccenerr2 |   pl_orbeccenlim |   pl_insol |   pl_insolerr1 |   pl_insolerr2 |   pl_insollim |   pl_eqt |   pl_eqterr1 |   pl_eqterr2 |   pl_eqtlim |   ttv_flag | st_spectype   |   st_teff |   st_tefferr1 |   st_tefferr2 |   st_tefflim |   st_rad |   st_raderr1 |   st_raderr2 |   st_radlim |   st_mass |   st_masserr1 |   st_masserr2 |   st_masslim |   st_met |   st_meterr1 |   st_meterr2 |   st_metlim | st_metratio   |   st_logg |   st_loggerr1 |   st_loggerr2 |   st_logglim | rastr        |        ra | decstr        |        dec |    sy_dist |   sy_disterr1 |   sy_disterr2 |   sy_vmag |   sy_vmagerr1 |   sy_vmagerr2 |   sy_kmag |   sy_kmagerr1 |   sy_kmagerr2 |   sy_gaiamag |   sy_gaiamagerr1 |   sy_gaiamagerr2 |
|  122 | DMPP-1 d             | DMPP-1             |         1 |         4 | Radial Velocity           |        2019 | La Silla Observatory                         |                 0 |    2.882    |      0.001      |     -0.001      |              0 |     0.0422   |         0.0004   |        -0.0003   |               0 |     1.65  |       nan     |       nan     |            0 |     0.147 |       nan     |       nan     |            0 |     3.35    |         0.38    |        -0.34    |              0 |     0.01054 |         0.0012  |        -0.00107 |              0 | Msini            |      0.07     |        nan        |        nan        |                1 |     nan    |         nan    |         nan    |           nan |     1632 |          nan |          nan |           0 |          0 | F8 V          |   6196    |         29    |        -29    |            0 |     1.26 |         0.02 |        -0.02 |           0 |      1.21 |          0.03 |         -0.03 |            0 |  nan     |      nan     |      nan     |         nan | nan           |      4.41 |          0.21 |         -0.21 |            0 | 05h47m06.27s |  86.7761  | -10d37m49.16s | -10.6303   |   62.5388  |       0.1782  |      -0.1773  |   7.98    |        0.03   |       -0.03   |     6.69  |         0.024 |        -0.024 |      7.85032 |        0.00029   |       -0.00029   |
|  123 | DMPP-1 e             | DMPP-1             |         1 |         4 | Radial Velocity           |        2019 | La Silla Observatory                         |                 0 |    5.516    |      0.002      |     -0.004      |              0 |     0.0651   |         0.0005   |        -0.0005   |               0 |     1.86  |       nan     |       nan     |            0 |     0.166 |       nan     |       nan     |            0 |     4.13    |         0.66    |        -1.14    |              0 |     0.01299 |         0.00208 |        -0.00359 |              0 | Msini            |      0.07     |        nan        |        nan        |                1 |     nan    |         nan    |         nan    |           nan |     1314 |          nan |          nan |           0 |          0 | F8 V          |   6196    |         29    |        -29    |            0 |     1.26 |         0.02 |        -0.02 |           0 |      1.21 |          0.03 |         -0.03 |            0 |  nan     |      nan     |      nan     |         nan | nan           |      4.41 |          0.21 |         -0.21 |            0 | 05h47m06.27s |  86.7761  | -10d37m49.16s | -10.6303   |   62.5388  |       0.1782  |      -0.1773  |   7.98    |        0.03   |       -0.03   |     6.69  |         0.024 |        -0.024 |      7.85032 |        0.00029   |       -0.00029   |
|  158 | EPIC 212737443 b     | EPIC 212737443     |         1 |         2 | Transit                   |        2019 | K2                                           |                 0 |   13.603    |      0.0013     |     -0.0013     |              0 |     0.098    |         0.004    |        -0.004    |               0 |     2.586 |         0.126 |        -0.126 |            0 |     0.231 |         0.011 |        -0.011 |            0 |     7.2     |       nan       |       nan       |              0 |     0.0227  |       nan       |       nan       |              0 | M-R relationship |      0.2      |          0.2      |         -0.2      |                0 |     nan    |         nan    |         nan    |           nan |      536 |           18 |          -18 |           0 |          0 | K3            |   4684    |         79    |        -79    |            0 |     0.67 |         0.02 |        -0.02 |           0 |      0.69 |          0.04 |         -0.04 |            0 |   -0.137 |        0.127 |       -0.127 |           0 | [Fe/H]        |      4.62 |          0.02 |         -0.02 |            0 | 13h36m53.16s | 204.222   | -07d19m05.01s |  -7.31806  |  336.25    |       4.743   |      -4.615   |  14.81    |        0.137  |       -0.137  |    12.16  |         0.024 |        -0.024 |     14.4776  |        0.000386  |       -0.000386  |
|  159 | EPIC 212737443 c     | EPIC 212737443     |         1 |         2 | Transit                   |        2019 | K2                                           |                 0 |   65.55     |      0.0089     |     -0.0089     |              0 |     0.28     |         0.006    |        -0.006    |               0 |     2.69  |         0.146 |        -0.146 |            0 |     0.24  |         0.013 |        -0.013 |            0 |     7.7     |       nan       |       nan       |              0 |     0.0242  |       nan       |       nan       |              0 | M-R relationship |      0.2      |          0.2      |         -0.2      |                0 |     nan    |         nan    |         nan    |           nan |      316 |           10 |          -10 |           0 |          0 | K3            |   4684    |         79    |        -79    |            0 |     0.67 |         0.02 |        -0.02 |           0 |      0.69 |          0.04 |         -0.04 |            0 |   -0.137 |        0.127 |       -0.127 |           0 | [Fe/H]        |      4.62 |          0.02 |         -0.02 |            0 | 13h36m53.16s | 204.222   | -07d19m05.01s |  -7.31806  |  336.25    |       4.743   |      -4.615   |  14.81    |        0.137  |       -0.137  |    12.16  |         0.024 |        -0.024 |     14.4776  |        0.000386  |       -0.000386  |
|  162 | EPIC 220674823 b     | EPIC 220674823     |         1 |         2 | Transit                   |        2016 | K2                                           |                 0 |    0.571212 |      3.8e-05    |     -3.8e-05    |              0 |     0.01312  |         0.00014  |        -0.00014  |               0 |     1.6   |         0.1   |        -0.1   |            0 |     0.143 |         0.009 |        -0.009 |            0 |     7.72    |         0.8     |        -0.79    |              0 |     0.02429 |         0.00252 |        -0.00249 |              0 | Mass             |      0        |        nan        |        nan        |                0 |    4293    |         483    |        -483    |             0 |     2119 |           41 |          -41 |           0 |          0 | G5 V          |   5613    |         39    |        -39    |            0 |     0.95 |         0.05 |        -0.05 |           0 |      0.93 |          0.01 |         -0.01 |            0 |    0.01  |        0.01  |       -0.01  |           0 | [Fe/H]        |      4.6  |          0.07 |         -0.07 |            0 | 00h52m19.21s |  13.08    | +10d47m40.94s |  10.7947   |  244.59    |       3.044   |      -2.972   |  12.101   |        0.031  |       -0.031  |    10.344 |         0.021 |        -0.021 |     11.9535  |        0.00022   |       -0.00022   |
|  163 | EPIC 220674823 c     | EPIC 220674823     |         1 |         2 | Transit                   |        2016 | K2                                           |                 0 |   13.3346   |      0.0001     |     -0.0001     |              0 |     0.1091   |         0.0014   |        -0.0015   |               0 |     2.2   |         0.2   |        -0.2   |            0 |     0.196 |         0.018 |        -0.018 |            0 |     5.8     |         3.3     |        -3       |              0 |     0.01825 |         0.01038 |        -0.00944 |              0 | Mass             |      0.18     |          0.15     |         -0.12     |                0 |      64    |           7    |          -7    |             0 |      741 |           14 |          -14 |           0 |          0 | G5 V          |   5613    |         39    |        -39    |            0 |     0.95 |         0.05 |        -0.05 |           0 |      0.93 |          0.01 |         -0.01 |            0 |    0.01  |        0.01  |       -0.01  |           0 | [Fe/H]        |      4.6  |          0.07 |         -0.07 |            0 | 00h52m19.21s |  13.08    | +10d47m40.94s |  10.7947   |  244.59    |       3.044   |      -2.972   |  12.101   |        0.031  |       -0.031  |    10.344 |         0.021 |        -0.021 |     11.9535  |        0.00022   |       -0.00022   |
|  167 | EPIC 249893012 b     | EPIC 249893012     |         1 |         3 | Transit                   |        2020 | K2                                           |                 0 |    3.5951   |      0.0003     |     -0.0003     |              0 |     0.047    |         0.005    |        -0.007    |               0 |     1.95  |         0.09  |        -0.08  |            0 |     0.174 |         0.008 |        -0.007 |            0 |     8.75    |         1.09    |        -1.08    |              0 |     0.02753 |         0.00343 |        -0.0034  |              0 | Mass             |      0.06     |          0.08     |         -0.04     |                0 |    1037    |         482    |        -207    |             0 |     1616 |          149 |          -79 |           0 |          0 | G8 IV/V       |   5430    |         85    |        -85    |            0 |     1.71 |         0.04 |        -0.04 |           0 |      1.05 |          0.05 |         -0.05 |            0 |    0.2   |        0.05  |       -0.05  |           0 | [Fe/H]        |      3.99 |          0.03 |         -0.03 |            0 | 15h12m59.58s | 228.248   | -16d43m28.73s | -16.7246   |  321.296   |       4.189   |      -4.085   |  11.429   |        0.022  |       -0.022  |     9.714 |         0.023 |        -0.023 |     11.4019  |        0.000495  |       -0.000495  |
|  168 | EPIC 249893012 c     | EPIC 249893012     |         1 |         3 | Transit                   |        2020 | K2                                           |                 0 |   15.624    |      0.001      |     -0.001      |              0 |     0.13     |         0.01     |        -0.02     |               0 |     3.67  |         0.17  |        -0.14  |            0 |     0.327 |         0.015 |        -0.012 |            0 |    14.67    |         1.84    |        -1.89    |              0 |     0.04616 |         0.00579 |        -0.00595 |              0 | Mass             |      0.07     |          0.08     |         -0.05     |                0 |     160    |          68    |         -29    |             0 |      990 |           92 |          -49 |           0 |          0 | G8 IV/V       |   5430    |         85    |        -85    |            0 |     1.71 |         0.04 |        -0.04 |           0 |      1.05 |          0.05 |         -0.05 |            0 |    0.2   |        0.05  |       -0.05  |           0 | [Fe/H]        |      3.99 |          0.03 |         -0.03 |            0 | 15h12m59.58s | 228.248   | -16d43m28.73s | -16.7246   |  321.296   |       4.189   |      -4.085   |  11.429   |        0.022  |       -0.022  |     9.714 |         0.023 |        -0.023 |     11.4019  |        0.000495  |       -0.000495  |
|  169 | EPIC 249893012 d     | EPIC 249893012     |         1 |         3 | Transit                   |        2020 | K2                                           |                 0 |   35.747    |      0.005      |     -0.005      |              0 |     0.22     |         0.02     |        -0.04     |               0 |     3.94  |         0.13  |        -0.12  |            0 |     0.352 |         0.012 |        -0.011 |            0 |    10.18    |         2.46    |        -2.42    |              0 |     0.03203 |         0.00774 |        -0.00761 |              0 | Mass             |      0.15     |          0.21     |         -0.11     |                0 |      53    |          23    |         -10    |             0 |      752 |           69 |          -37 |           0 |          0 | G8 IV/V       |   5430    |         85    |        -85    |            0 |     1.71 |         0.04 |        -0.04 |           0 |      1.05 |          0.05 |         -0.05 |            0 |    0.2   |        0.05  |       -0.05  |           0 | [Fe/H]        |      3.99 |          0.03 |         -0.03 |            0 | 15h12m59.58s | 228.248   | -16d43m28.73s | -16.7246   |  321.296   |       4.189   |      -4.085   |  11.429   |        0.022  |       -0.022  |     9.714 |         0.023 |        -0.023 |     11.4019  |        0.000495  |       -0.000495  |
|  187 | GJ 143 b             | GJ 143             |         1 |         2 | Transit                   |        2019 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |   35.6125   |      0.0006     |     -0.00062    |              0 |     0.1915   |         0.0058   |        -0.0063   |               0 |     2.61  |         0.17  |        -0.16  |            0 |     0.233 |         0.015 |        -0.014 |            0 |    22.7     |         2.2     |        -1.9     |              0 |     0.07142 |         0.00692 |        -0.00598 |              0 | Mass             |      0.188    |          0.076    |         -0.078    |                0 |       5.62 |         nan    |         nan    |             0 |      422 |           15 |          -14 |           0 |          0 | K4.5          |   4640    |        100    |       -100    |            0 |     0.7  |         0.03 |        -0.03 |           0 |      0.73 |          0.07 |         -0.07 |            0 |    0.003 |        0.06  |       -0.06  |           0 | [Fe/H]        |      4.61 |          0.05 |         -0.06 |            0 | 03h27m00.05s |  51.7502  | -63d30m00.60s | -63.5002   |   16.32    |       0.0071  |      -0.0071  |   8.08    |        0.03   |       -0.03   |     5.375 |         0.024 |        -0.024 |      7.67906 |        0.00026   |       -0.00026   |
|  215 | GJ 3222 b            | GJ 3222            |         1 |         1 | Radial Velocity           |        2022 | Multiple Observatories                       |                 0 |   10.6667   |      0.00284829 |     -0.00231129 |              0 |     0.091179 |         0.003764 |        -0.004053 |               0 |     3.45  |       nan     |       nan     |            0 |     0.308 |       nan     |       nan     |            0 |    11.7397  |         3.02215 |        -2.30301 |              0 |     0.03694 |         0.00951 |        -0.00725 |              0 | Msini            |      0.929006 |          0.042176 |         -0.079565 |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | K0V           |   5257.46 |        nan    |        nan    |            0 |     0.93 |       nan    |       nan    |           0 |      0.89 |          0.11 |         -0.11 |            0 |    0.16  |        0.06  |       -0.06  |           0 | [M/H]         |      4.43 |        nan    |        nan    |            0 | 03h23m35.34s |  50.8972  | -40d04m34.44s | -40.0762   |   18.2382  |     nan       |     nan       |   6.9     |        0.03   |       -0.03   |     4.767 |         0.016 |        -0.016 |    nan       |      nan         |      nan         |
|  243 | GJ 414 A b           | GJ 414 A           |         2 |         2 | Radial Velocity           |        2021 | W. M. Keck Observatory                       |                 0 |   50.8      |      0.1        |     -0.26       |              0 |     0.2324   |         0.0092   |        -0.0099   |               0 |     2.63  |         1.22  |        -0.85  |            0 |     0.235 |         0.109 |        -0.076 |            0 |     7.6     |         2.44    |        -2.19    |              0 |     0.02391 |         0.00768 |        -0.00689 |              0 | Msini            |      0.45     |          0.19     |         -0.22     |                0 |     nan    |         nan    |         nan    |           nan |      309 |           34 |          -34 |           0 |          0 | K7 V          |   4120    |        109    |       -109    |            0 |     0.68 |         0.14 |        -0.14 |           0 |      0.65 |          0.08 |         -0.08 |            0 |    0.24  |        0.1   |       -0.1   |           0 | [Fe/H]        |      4.65 |          0.04 |         -0.04 |            0 | 11h11m05.88s | 167.775   | +30d26m42.61s |  30.4452   |   11.8893  |       0.0067  |      -0.0067  |   8.31    |        0.03   |       -0.03   |     4.979 |         0.018 |        -0.018 |      7.72808 |        0.000672  |       -0.000672  |
|  297 | GJ 9827 d            | GJ 9827            |         1 |         3 | Transit                   |        2017 | K2                                           |                 0 |    6.20147  |      6.26e-05   |     -6.11e-05   |              0 |     0.05591  |         0.00059  |        -0.00041  |               0 |     2.022 |         0.046 |        -0.043 |            0 |     0.18  |         0.004 |        -0.004 |            0 |     4.04    |         0.82    |        -0.84    |              0 |     0.01271 |         0.00258 |        -0.00264 |              0 | Mass             |      0        |        nan        |        nan        |                0 |      29    |           5    |          -3    |             0 |      605 |           21 |          -18 |           0 |          0 | K6 V          |   4340    |         40    |        -53    |            0 |     0.6  |         0.01 |         0    |           0 |      0.61 |          0.02 |         -0.01 |            0 |   -0.26  |        0.09  |       -0.09  |           0 | [m/H]         |      4.66 |          0.02 |         -0.01 |            0 | 23h27m05.23s | 351.772   | -01d17m07.24s |  -1.28534  |   29.661   |       0.0543  |      -0.0541  |  10.37    |        0.03   |       -0.03   |     7.193 |         0.024 |        -0.024 |      9.83773 |        0.000411  |       -0.000411  |
