+------+----------------------+--------------------+-----------+-----------+-------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------+
|      | pl_name              | hostname           |   sy_snum |   sy_pnum | discoverymethod   |   disc_year | disc_facility                                |   pl_controv_flag |   pl_orbper |   pl_orbpererr1 |   pl_orbpererr2 |   pl_orbperlim |   pl_orbsmax |   pl_orbsmaxerr1 |   pl_orbsmaxerr2 |   pl_orbsmaxlim |   pl_rade |   pl_radeerr1 |   pl_radeerr2 |   pl_radelim |   pl_radj |   pl_radjerr1 |   pl_radjerr2 |   pl_radjlim |   pl_bmasse |   pl_bmasseerr1 |   pl_bmasseerr2 |   pl_bmasselim |   pl_bmassj |   pl_bmassjerr1 |   pl_bmassjerr2 |   pl_bmassjlim | pl_bmassprov     |   pl_orbeccen |   pl_orbeccenerr1 |   pl_orbeccenerr2 |   pl_orbeccenlim |   pl_insol |   pl_insolerr1 |   pl_insolerr2 |   pl_insollim |   pl_eqt |   pl_eqterr1 |   pl_eqterr2 |   pl_eqtlim |   ttv_flag | st_spectype   |   st_teff |   st_tefferr1 |   st_tefferr2 |   st_tefflim |   st_rad |   st_raderr1 |   st_raderr2 |   st_radlim |   st_mass |   st_masserr1 |   st_masserr2 |   st_masslim |   st_met |   st_meterr1 |   st_meterr2 |   st_metlim | st_metratio   |   st_logg |   st_loggerr1 |   st_loggerr2 |   st_logglim | rastr        |        ra | decstr        |        dec |    sy_dist |   sy_disterr1 |   sy_disterr2 |   sy_vmag |   sy_vmagerr1 |   sy_vmagerr2 |   sy_kmag |   sy_kmagerr1 |   sy_kmagerr2 |   sy_gaiamag |   sy_gaiamagerr1 |   sy_gaiamagerr2 |
| 3828 | Kepler-444 f         | Kepler-444         |         3 |         5 | Transit           |        2015 | Kepler                                       |                 0 |    9.74049  |        1.3e-05  |       -1.3e-05  |              0 |     0.0811   |         0.0015   |        -0.0015   |               0 |     0.741 |         0.041 |        -0.04  |            0 |     0.066 |         0.004 |        -0.004 |            0 |     0.332   |       nan       |       nan       |              0 |     0.00104 |       nan       |       nan       |              0 | M-R relationship |        0.29   |          0.2      |         -0.19     |                0 |      59.91 |           1.11 |          -1.1  |             0 |      673 |          nan |          nan |           0 |          0 | K             |   5046    |         74    |        -74    |            0 |     0.75 |         0.01 |        -0.01 |           0 |      0.76 |          0.04 |         -0.04 |            0 |   -0.55  |        0.07  |       -0.07  |           0 | [Fe/H]        |      4.56 |          0.01 |         -0.01 |            0 | 19h19m00.68s | 289.753   | +41d37m54.78s |  41.6319   |   36.4396  |       0.0395  |      -0.0394  |   8.87    |         0.03  |        -0.03  |     6.703 |         0.02  |        -0.02  |      8.64325 |        0.000336  |       -0.000336  |
| 4083 | Kepler-62 b          | Kepler-62          |         1 |         5 | Transit           |        2013 | Kepler                                       |                 0 |    5.71493  |        9e-06    |       -9e-06    |              0 |     0.0553   |         0.0005   |        -0.0005   |               0 |     1.31  |         0.04  |        -0.04  |            0 |     0.117 |         0.004 |        -0.004 |            0 |     9       |       nan       |       nan       |              1 |     0.03    |       nan       |       nan       |              1 | Mass             |        0      |        nan        |        nan        |                0 |      80.33 |           1.69 |          -1.66 |             0 |      750 |           41 |          -41 |           0 |          0 | K2 V          |   4925    |         70    |        -70    |            0 |     0.64 |         0.02 |        -0.02 |           0 |      0.69 |          0.02 |         -0.02 |            0 |   -0.37  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.68 |          0.04 |         -0.04 |            0 | 18h52m51.01s | 283.213   | +45d20m58.92s |  45.3497   |  300.874   |       1.219   |      -1.219   |  13.965   |         0.092 |        -0.092 |    11.659 |         0.021 |        -0.021 |     13.7197  |        0.000208  |       -0.000208  |
| 4084 | Kepler-62 c          | Kepler-62          |         1 |         5 | Transit           |        2013 | Kepler                                       |                 0 |   12.4417   |        0.0001   |       -0.0001   |              0 |     0.0929   |         0.0009   |        -0.0009   |               0 |     0.54  |         0.03  |        -0.03  |            0 |     0.048 |         0.003 |        -0.003 |            0 |     4       |       nan       |       nan       |              1 |     0.013   |       nan       |       nan       |              1 | Mass             |        0      |        nan        |        nan        |                0 |      28.49 |           0.6  |          -0.59 |             0 |      578 |           31 |          -31 |           0 |          0 | K2 V          |   4925    |         70    |        -70    |            0 |     0.64 |         0.02 |        -0.02 |           0 |      0.69 |          0.02 |         -0.02 |            0 |   -0.37  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.68 |          0.04 |         -0.04 |            0 | 18h52m51.01s | 283.213   | +45d20m58.92s |  45.3497   |  300.874   |       1.219   |      -1.219   |  13.965   |         0.092 |        -0.092 |    11.659 |         0.021 |        -0.021 |     13.7197  |        0.000208  |       -0.000208  |
| 4087 | Kepler-62 f          | Kepler-62          |         1 |         5 | Transit           |        2013 | Kepler                                       |                 0 |  267.291    |        0.005    |       -0.005    |              0 |     0.718    |         0.007    |        -0.007    |               0 |     1.41  |         0.07  |        -0.07  |            0 |     0.126 |         0.006 |        -0.006 |            0 |    35       |       nan       |       nan       |              1 |     0.11    |       nan       |       nan       |              1 | Mass             |        0      |        nan        |        nan        |                0 |       0.48 |           0.01 |          -0.01 |             0 |      208 |           11 |          -11 |           0 |          0 | K2 V          |   4925    |         70    |        -70    |            0 |     0.64 |         0.02 |        -0.02 |           0 |      0.69 |          0.02 |         -0.02 |            0 |   -0.37  |        0.04  |       -0.04  |           0 | [Fe/H]        |      4.68 |          0.04 |         -0.04 |            0 | 18h52m51.01s | 283.213   | +45d20m58.92s |  45.3497   |  300.874   |       1.219   |      -1.219   |  13.965   |         0.092 |        -0.092 |    11.659 |         0.021 |        -0.021 |     13.7197  |        0.000208  |       -0.000208  |
| 4282 | Kepler-78 b          | Kepler-78          |         2 |         1 | Transit           |        2013 | Kepler                                       |                 0 |    0.355007 |        6e-08    |       -6e-08    |              0 |   nan        |       nan        |       nan        |             nan |     1.121 |         0.112 |        -0.112 |            0 |     0.1   |         0.01  |        -0.01  |            0 |     1.96716 |         0.53449 |        -0.53449 |              0 |     0.00619 |         0.00168 |        -0.00168 |              0 | Mass             |        0      |        nan        |        nan        |                0 |     nan    |         nan    |         nan    |           nan |     2250 |          750 |         -750 |           0 |          0 | G             |   5089    |         50    |        -50    |            0 |     0.75 |         0.03 |        -0.03 |           0 |      0.84 |          0.32 |         -0.32 |            0 |   -0.14  |      nan     |      nan     |           0 | [Fe/H]        |      4.6  |          0.1  |         -0.1  |            0 | 19h34m58.07s | 293.742   | +44d26m53.71s |  44.4483   |  124.376   |       0.33    |      -0.329   |  11.717   |         0.034 |        -0.034 |     9.586 |         0.015 |        -0.015 |     11.5287  |        0.00034   |       -0.00034   |
| 4312 | Kepler-80 d          | Kepler-80          |         1 |         6 | Transit           |        2014 | Kepler                                       |                 0 |    3.07222  |        6e-05    |       -4e-05    |              0 |     0.0372   |         0.0005   |        -0.0005   |               0 |     1.53  |         0.09  |        -0.07  |            0 |     0.136 |         0.008 |        -0.006 |            0 |     6.75    |         0.69    |        -0.51    |              0 |     0.02124 |         0.00217 |        -0.0016  |              0 | Mass             |        0      |        nan        |        nan        |                0 |     164.62 |           4.06 |          -3.95 |             0 |      722 |          nan |          nan |           0 |          1 | K5            |   4540    |        100    |       -100    |            0 |     0.68 |         0.02 |        -0.02 |           0 |      0.73 |          0.03 |         -0.03 |            0 |    0.04  |        0.08  |       -0.08  |           0 | [Fe/H]        |      4.64 |          0.01 |         -0.01 |            0 | 19h44m27.02s | 296.113   | +39d58m43.48s |  39.9787   |  369.451   |       2.8945  |      -2.8945  |  15.23    |         0.172 |        -0.172 |    12.253 |         0.02  |        -0.02  |     14.7555  |        0.000492  |       -0.000492  |
| 4313 | Kepler-80 e          | Kepler-80          |         1 |         6 | Transit           |        2014 | Kepler                                       |                 0 |    4.64489  |        0.0002   |       -0.00019  |              0 |     0.0491   |         0.0007   |        -0.0007   |               0 |     1.6   |         0.08  |        -0.07  |            0 |     0.143 |         0.007 |        -0.006 |            0 |     4.13    |         0.81    |        -0.95    |              0 |     0.01299 |         0.00255 |        -0.00299 |              0 | Mass             |        0      |        nan        |        nan        |                0 |      94.78 |           2.33 |          -2.27 |             0 |      629 |          nan |          nan |           0 |          1 | K5            |   4540    |        100    |       -100    |            0 |     0.68 |         0.02 |        -0.02 |           0 |      0.73 |          0.03 |         -0.03 |            0 |    0.04  |        0.08  |       -0.08  |           0 | [Fe/H]        |      4.64 |          0.01 |         -0.01 |            0 | 19h44m27.02s | 296.113   | +39d58m43.48s |  39.9787   |  369.451   |       2.8945  |      -2.8945  |  15.23    |         0.172 |        -0.172 |    12.253 |         0.02  |        -0.02  |     14.7555  |        0.000492  |       -0.000492  |
| 4314 | Kepler-80 f          | Kepler-80          |         1 |         6 | Transit           |        2016 | Kepler                                       |                 0 |    0.986787 |        6e-08    |       -6e-08    |              0 |     0.0175   |         0.0002   |        -0.0002   |               0 |     1.21  |         0.06  |        -0.05  |            0 |     0.108 |         0.005 |        -0.004 |            0 |     1.92    |       nan       |       nan       |              0 |     0.00606 |       nan       |       nan       |              0 | M-R relationship |        0      |        nan        |        nan        |                0 |     750.96 |          18.5  |         -18.01 |             0 |     1054 |          nan |          nan |           0 |          0 | K5            |   4540    |        100    |       -100    |            0 |     0.68 |         0.02 |        -0.02 |           0 |      0.73 |          0.03 |         -0.03 |            0 |    0.04  |        0.08  |       -0.08  |           0 | [Fe/H]        |      4.64 |          0.01 |         -0.01 |            0 | 19h44m27.02s | 296.113   | +39d58m43.48s |  39.9787   |  369.451   |       2.8945  |      -2.8945  |  15.23    |         0.172 |        -0.172 |    12.253 |         0.02  |        -0.02  |     14.7555  |        0.000492  |       -0.000492  |
| 4315 | Kepler-80 g          | Kepler-80          |         1 |         6 | Transit           |        2017 | Kepler                                       |                 0 |   14.6456   |        0.00012  |       -0.00012  |              0 |   nan        |       nan        |       nan        |             nan |     1.13  |         0.14  |        -0.14  |            0 |     0.101 |         0.012 |        -0.012 |            0 |     1.51    |       nan       |       nan       |              0 |     0.00474 |       nan       |       nan       |              0 | M-R relationship |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |      418 |           36 |          -36 |           0 |          0 | K5            |   4540    |        100    |       -100    |            0 |     0.68 |         0.02 |        -0.02 |           0 |      0.83 |          0.03 |         -0.03 |            0 |    0.04  |        0.08  |       -0.08  |           0 | [M/H]         |      4.64 |          0.01 |         -0.01 |            0 | 19h44m27.02s | 296.113   | +39d58m43.48s |  39.9787   |  369.451   |       2.8945  |      -2.8945  |  15.23    |         0.172 |        -0.172 |    12.253 |         0.02  |        -0.02  |     14.7555  |        0.000492  |       -0.000492  |
| 4874 | TOI-178 b            | TOI-178            |         1 |         6 | Transit           |        2021 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |    1.91456  |        1.8e-05  |       -1.8e-05  |              0 |     0.02607  |         0.00078  |        -0.00078  |               0 |     1.152 |         0.073 |        -0.07  |            0 |     0.103 |         0.007 |        -0.006 |            0 |     1.5     |         0.39    |        -0.44    |              0 |     0.00472 |         0.00123 |        -0.00138 |              0 | Mass             |      nan      |        nan        |        nan        |              nan |     nan    |         nan    |         nan    |           nan |     1040 |           22 |          -21 |           0 |          0 | K             |   4316    |         70    |        -70    |            0 |     0.65 |         0.01 |        -0.01 |           0 |      0.65 |          0.03 |         -0.03 |            0 |   -0.23  |        0.05  |       -0.05  |           0 | [Fe/H]        |      4.45 |          0.15 |         -0.15 |            0 | 00h29m12.48s |   7.30201 | -30d27m14.82s | -30.4541   |   62.699   |       0.2074  |      -0.2061  |  11.955   |         0.035 |        -0.035 |     8.656 |         0.021 |        -0.021 |     11.1523  |        0.00089   |       -0.00089   |
| 4886 | TOI-1860 b           | TOI-1860           |         1 |         1 | Transit           |        2022 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |    1.06621  |        1.4e-06  |       -1.4e-06  |              0 |     0.0204   |         0.0002   |        -0.0002   |               0 |     1.31  |         0.04  |        -0.04  |            0 |     0.117 |         0.004 |        -0.004 |            0 |     2.27    |       nan       |       nan       |              0 |     0.00714 |       nan       |       nan       |              0 | M-R relationship |      nan      |        nan        |        nan        |              nan |    1901.78 |         nan    |         nan    |             0 |     1885 |           28 |          -28 |           0 |          0 | G V           |   5752    |        100    |       -100    |            0 |     0.94 |         0.02 |        -0.02 |           0 |      0.99 |          0.03 |         -0.03 |            0 |    0.04  |        0.06  |       -0.06  |           0 | [Fe/H]        |      4.58 |          0.1  |         -0.1  |            0 | 15h05m49.62s | 226.457   | +64d02m51.66s |  64.0477   |   45.864   |       0.0648  |      -0.0645  |   8.4     |         0.03  |        -0.03  |     6.792 |         0.021 |        -0.021 |      8.23223 |        0.000636  |       -0.000636  |
| 4988 | TOI-500 b            | TOI-500            |         1 |         4 | Transit           |        2022 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |    0.548177 |        1.9e-05  |       -1.9e-05  |              0 |     0.01189  |         0.00041  |        -0.0004   |               0 |     1.166 |         0.061 |        -0.058 |            0 |     0.104 |         0.005 |        -0.005 |            0 |     1.42    |         0.18    |        -0.18    |              0 |     0.00447 |         0.00057 |        -0.00057 |              0 | Mass             |        0.063  |          0.073    |         -0.044    |                0 |    1138    |         123    |        -112    |             0 |     1617 |           41 |          -41 |           0 |          0 | K6 V          |   4440    |        100    |       -100    |            0 |     0.68 |         0.02 |        -0.02 |           0 |      0.74 |          0.02 |         -0.02 |            0 |    0.12  |        0.08  |       -0.08  |           0 | [Fe/H]        |      4.62 |          0.02 |         -0.02 |            0 | 07h06m14.18s | 106.559   | -47d35m16.14s | -47.5878   |   47.3924  |       0.0473  |      -0.0473  |  10.54    |         0.03  |        -0.03  |     7.715 |         0.026 |        -0.026 |     10.1026  |        0.000308  |       -0.000308  |
| 5005 | TOI-561 b            | TOI-561            |         1 |         4 | Transit           |        2020 | Transiting Exoplanet Survey Satellite (TESS) |                 0 |    0.446569 |        7e-07    |       -8e-07    |              0 |     0.0106   |         0.0001   |        -0.0001   |               0 |     1.425 |         0.037 |        -0.037 |            0 |     0.127 |         0.003 |        -0.003 |            0 |     2       |         0.23    |        -0.23    |              0 |     0.00629 |         0.00072 |        -0.00072 |              0 | Mass             |        0      |        nan        |        nan        |                0 |    4745    |         269    |        -269    |             0 |     2310 |           33 |          -33 |           0 |          0 | G9 V          |   5372    |         70    |        -70    |            0 |     0.84 |         0.01 |        -0.01 |           0 |      0.81 |          0.04 |         -0.04 |            0 |   -0.4   |        0.05  |       -0.05  |           0 | [Fe/H]        |      4.5  |          0.12 |         -0.12 |            0 | 09h52m44.44s | 148.185   | +06d12m57.97s |   6.2161   |   85.799   |       0.4988  |      -0.4932  |  10.252   |         0.006 |        -0.006 |     8.394 |         0.019 |        -0.019 |     10.0128  |        0.000278  |       -0.000278  |
| 5314 | tau Cet g            | tau Cet            |         1 |         4 | Radial Velocity   |        2017 | Multiple Observatories                       |                 0 |   20        |        0.02     |       -0.01     |              0 |     0.133    |         0.001    |        -0.002    |               0 |     1.18  |       nan     |       nan     |            0 |     0.105 |       nan     |       nan     |            0 |     1.75    |         0.25    |        -0.4     |              0 |     0.00551 |         0.00079 |        -0.00126 |              0 | Msini            |        0.06   |          0.13     |         -0.06     |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G8.5V         |   5310    |         17    |        -17    |            0 |     0.83 |         0.02 |        -0.02 |           0 |      0.78 |          0.01 |         -0.01 |            0 |   -0.52  |        0.01  |       -0.01  |           0 | [Fe/H]        |      4.52 |          0.02 |         -0.01 |            0 | 01h44m02.23s |  26.0093  | -15d56m01.68s | -15.9338   |    3.60304 |       0.00678 |      -0.00675 |   3.49607 |         0.023 |        -0.023 |     1.794 |         0.274 |        -0.274 |      3.24854 |        0.0103988 |       -0.0103988 |
| 5315 | tau Cet h            | tau Cet            |         1 |         4 | Radial Velocity   |        2017 | Multiple Observatories                       |                 0 |   49.41     |        0.08     |       -0.1      |              0 |     0.243    |         0.003    |        -0.003    |               0 |     1.19  |       nan     |       nan     |            0 |     0.106 |       nan     |       nan     |            0 |     1.83    |         0.68    |        -0.26    |              0 |     0.00576 |         0.00214 |        -0.00082 |              0 | Msini            |        0.23   |          0.16     |         -0.15     |                0 |     nan    |         nan    |         nan    |           nan |      nan |          nan |          nan |         nan |          0 | G8.5V         |   5310    |         17    |        -17    |            0 |     0.83 |         0.02 |        -0.02 |           0 |      0.78 |          0.01 |         -0.01 |            0 |   -0.52  |        0.01  |       -0.01  |           0 | [Fe/H]        |      4.52 |          0.02 |         -0.01 |            0 | 01h44m02.23s |  26.0093  | -15d56m01.68s | -15.9338   |    3.60304 |       0.00678 |      -0.00675 |   3.49607 |         0.023 |        -0.023 |     1.794 |         0.274 |        -0.274 |      3.24854 |        0.0103988 |       -0.0103988 |
+------+----------------------+--------------------+-----------+-----------+-------------------+-------------+----------------------------------------------+-------------------+-------------+-----------------+-----------------+----------------+--------------+------------------+------------------+-----------------+-----------+---------------+---------------+--------------+-----------+---------------+---------------+--------------+-------------+-----------------+-----------------+----------------+-------------+-----------------+-----------------+----------------+------------------+---------------+-------------------+-------------------+------------------+------------+----------------+----------------+---------------+----------+--------------+--------------+-------------+------------+---------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+-----------+---------------+---------------+--------------+----------+--------------+--------------+-------------+---------------+-----------+---------------+---------------+--------------+--------------+-----------+---------------+------------+------------+---------------+---------------+-----------+---------------+---------------+-----------+---------------+---------------+--------------+------------------+------------------+
